run,episode,cumulative_decisions,circuit,fault_id,stage,sweep,difficulty,extrinsic_reward_sum,reward_sum,scaled_intrinsic_reward_sum,steps,outcome,updated,entropy,value_loss
DeepGate-GAE,1,25,c432,G413:GI1:sa1,easy,1,easy,99.80392156862744,99.96432633889441,0.16040477026696967,25,1,True,0.29419684410095215,0.006623159162700176
DeepGate-GAE,2,38,c432,dummy_gate2:GO:sa0,easy,1,easy,100.0,100.13504649743923,0.13504649743922725,13,1,True,0.31919601559638977,0.004788206424564123
DeepGate-GAE,3,51,c432,G199:GI0:sa1,easy,1,easy,99.66666666666667,99.82691545007768,0.16024878341101556,13,1,True,0.25470927357673645,0.004982525948435068
DeepGate-GAE,4,67,c432,G396:GO:sa1,easy,1,easy,100.2127659574468,100.44007338848836,0.2273074310415437,16,1,True,0.28075265884399414,0.005593063309788704
DeepGate-GAE,5,80,c432,G377:GI0:sa1,easy,1,easy,100.0,100.2038423902219,0.203842390221892,13,1,True,0.29726654291152954,0.0036845761351287365
DeepGate-GAE,6,104,c432,G295:GI7:sa1,easy,1,easy,99.29824561403508,99.71836727141773,0.42012165738265933,24,1,True,0.3161223828792572,0.006965791340917349
DeepGate-GAE,7,118,c432,G165:GO:sa0,easy,1,easy,100.0,100.26837584454454,0.2683758445445359,14,1,True,0.25051847100257874,0.005035690031945705
DeepGate-GAE,8,143,c432,G413:GI2:sa1,easy,1,easy,99.80392156862744,100.32656367105324,0.5226421024257977,25,1,True,0.2655348777770996,0.009245947934687138
DeepGate-GAE,9,151,c432,G431:GO:sa0,easy,1,easy,100.0,100.17653178458939,0.176531784589388,8,1,True,0.2580929100513458,0.00428985059261322
DeepGate-GAE,10,170,c432,dummy_gate16:GO:sa1,easy,1,easy,100.0,100.43636871221173,0.4363687122117102,19,1,True,0.3230629563331604,0.0065334453247487545
DeepGate-GAE,11,182,c432,G245:GO:sa1,easy,1,easy,100.0,100.28415445663185,0.2841544566318497,12,1,True,0.3370344638824463,0.0025445360224694014
DeepGate-GAE,12,200,c432,G255:GI1:sa1,easy,1,easy,100.0,100.44673365847498,0.4467336584749818,18,1,True,0.3194639980792999,0.005469630006700754
DeepGate-GAE,13,218,c432,G254:GI1:sa1,easy,1,easy,100.0,100.46579527811708,0.46579527811709465,18,1,True,0.31640493869781494,0.006201241631060839
DeepGate-GAE,14,227,c432,G430:GI1:sa1,easy,1,easy,100.0,100.2365104530975,0.2365104530974892,9,1,True,0.27916207909584045,0.0051521314308047295
